,0,1,2,Act Enrl,Actv,Bldg/Rm,CRN,Course #,Course Title,Days,Instructor,Max Enrl,Seats Avail,Start - End,Time,Units
0,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
0,,,,132.0,LECT,REMOTE ONLY,10158.0,ANTH-003-01,Anthropological ArchaeologyMust Also Register for a Corresponding Discussion Section,MW,"Moyes, Holley",135.0,3,19-JAN 07-MAY,4:30-5:45pm,4.0
1,,,,,EXAM,REMOTE ONLY,,,Anthropological ArchaeologyMust Also Register for a Corresponding Discussion Section,F,,,,14-MAY 14-MAY,3:00-6:00pm,
2,,,,15.0,DISC,REMOTE ONLY,10159.0,ANTH-003-02D,Anthropological Archaeology,F,"Galarza, Cristyna",15.0,Closed,19-JAN 07-MAY,1:30-2:20pm,0.0
3,,,,15.0,DISC,REMOTE ONLY,10160.0,ANTH-003-03D,Anthropological Archaeology,F,"Galarza, Cristyna",15.0,Closed,19-JAN 07-MAY,8:30-9:20am,0.0
4,,,,15.0,DISC,REMOTE ONLY,10161.0,ANTH-003-04D,Anthropological Archaeology,F,"Campos Martinez, Miriam",15.0,Closed,19-JAN 07-MAY,9:30-10:20am,0.0
5,,,,15.0,DISC,REMOTE ONLY,13110.0,ANTH-003-05D,Anthropological Archaeology,F,"Campos Martinez, Miriam",15.0,Closed,19-JAN 07-MAY,10:30-11:20am,0.0
6,,,,15.0,DISC,REMOTE ONLY,10541.0,ANTH-003-06D,Anthropological Archaeology,F,"Duenas Garcia, Manuel",15.0,Closed,19-JAN 07-MAY,11:30-12:20pm,0.0
7,,,,14.0,DISC,REMOTE ONLY,10542.0,ANTH-003-07D,Anthropological Archaeology,F,"Duenas Garcia, Manuel",15.0,1,19-JAN 07-MAY,12:30-1:20pm,0.0
8,,,,15.0,DISC,REMOTE ONLY,14575.0,ANTH-003-08D,Anthropological Archaeology,F,"Goodwin, Graham",15.0,Closed,19-JAN 07-MAY,2:30-3:20pm,0.0
9,,,,15.0,DISC,REMOTE ONLY,14576.0,ANTH-003-09D,Anthropological Archaeology,F,Staff,15.0,Closed,19-JAN 07-MAY,3:30-4:20pm,0.0
10,,,,13.0,DISC,REMOTE ONLY,16473.0,ANTH-003-10D,Anthropological Archaeology,F,"Nicolay, Scott",15.0,2,19-JAN 07-MAY,4:30-5:20pm,0.0
11,,,,40.0,LECT,REMOTE ONLY,16351.0,ANTH-113-01,Urban Anthropology,MW,"Perez, Doris",40.0,Closed,19-JAN 07-MAY,6:00-7:15pm,4.0
12,,,,,EXAM,REMOTE ONLY,,,Urban Anthropology,R,,,,13-MAY 13-MAY,3:00-6:00pm,
13,,,,41.0,LECT,REMOTE ONLY,16352.0,ANTH-122-01,Religion and Healing,TR,"Rebhun, Linda-Anne",40.0,-1,19-JAN 07-MAY,12:00-1:15pm,4.0
